time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,332,35.7,774,83.2
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Partial achievement,153,16.5,927,99.7
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,3,0.3,930,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,331,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction*,4,1.2,4,1.2
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction,91,27.5,95,28.7
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Merit,142,42.9,237,71.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Pass,75,22.7,312,94.3
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Partial achievement,19,5.7,331,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Unclassified,0,0,331,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,694,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction,64,9.2,64,9.2
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Merit,291,41.9,355,51.2
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Pass,255,36.7,610,87.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Partial achievement,79,11.4,689,99.3
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Unclassified,5,0.7,694,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,1034,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Distinction,126,12.2,126,12.2
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Merit,383,37,509,49.2
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Pass,353,34.1,862,83.4
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Partial achievement,168,16.2,1030,99.6
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Unclassified,4,0.4,1034,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction,1,12.5,1,12.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Merit,5,62.5,6,75
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Pass,0,0,6,75
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Partial achievement,1,12.5,7,87.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Unclassified,1,12.5,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,21,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction,3,14.3,3,14.3
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Merit,9,42.9,12,57.1
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Pass,6,28.6,18,85.7
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Partial achievement,3,14.3,21,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Unclassified,0,0,21,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,183,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Distinction,36,19.7,36,19.7
